old_url,page_title,status_code,destination_type,notes
https://bandperry.com/,The Band Perry | Official Website,200,internal,"Root path; renders identical homepage content to /home. Canonical tag points to https://bandperry.com (no trailing path)."
https://bandperry.com/home,The Band Perry | Official Website,200,internal,"Listed as the canonical homepage in sitemap.xml (lastmod 2026-02-11); root / also serves this content."
https://bandperry.com/tour,Tour — The Band Perry,200,internal,"Tour Dates block, Bandsintown-powered, live data."
https://bandperry.com/music,Music — The Band Perry,200,internal,"Release carousel, 7 cards, ffm.to smart links."
https://bandperry.com/about,About — The Band Perry,200,internal,"Our Story bio copy plus a duo photo."
https://bandperry.com/shop,,404,internal,"No such internal page exists. The nav label ""Shop"" links straight to the external colortestmerch.com storefront, not to this path."
https://bandperry.com/subscribe,,404,internal,"No such internal page exists. The nav label ""Subscribe"" links straight to the external beacons.ai email list, not to this path."
https://bandperry.com/sitemap.xml,,200,internal,"Lists /home, /about, /music, /tour only (4 URLs) plus per-page image sitemap entries."
https://thebandperry.colortestmerch.com/,The Band Perry,200,external,"Destination of the ""Shop"" nav link. Separate merch storefront, not part of the Squarespace site or its sitemap."
https://beacons.ai/thebandperry/emaillist,"@thebandperry | PSYCHOLOGICAL, MERCH DROP | Beacons",200,external,"Destination of the ""Subscribe"" nav link. Returns 403 to plain curl requests (bot protection) but loads fine in a real browser; confirmed 200 via browser navigation."
https://tiktok.com/@thebandperry,,200,external,"Footer social icon."
https://instagram.com/thebandperry,,200,external,"Footer social icon."
https://x.com/thebandperry,,200,external,"Footer social icon."
https://www.youtube.com/channel/UC5lp1vncB8eJV11uvrqnniQ,,200,external,"Footer social icon uses this channel-ID URL. Note: the Bandsintown artist record for this act instead lists https://www.youtube.com/@TheBandPerry (handle form) as the canonical YouTube link — both resolve to the same channel; pick one for the rebuild."
https://www.facebook.com/thebandperry,,200,external,"Footer social icon."
https://open.spotify.com/artist/75FnCoo4FBxH5K1Rrx0k5A,,200,external,"Footer social icon."
https://music.apple.com/gb/artist/the-band-perry/345752964,,200,external,"Footer social icon. Note the /gb/ (UK storefront) locale segment in the URL as published; consider whether that's intentional."
https://thebandperry.ffm.to/psychological.OWE,The Band Perry - PSYCHOLOGICAL,200,external,"Music page CTA for ""PSYCHOLOGICAL"" (2026), labeled PRE-SAVE. Feature.fm smart link; fans out to Spotify, Apple Music, Amazon Music, Pandora, YouTube Music, Deezer, a Download/purchase option, and a Watch (YouTube video) button. Per-service destination URLs are resolved client-side via a click handler through api.ffm.to, not exposed as static hrefs."
https://thebandperry.ffm.to/ifidieyoung,,200,external,"Music page CTA for ""If I Die Young"" (2025 remaster), labeled LISTEN. Same Feature.fm smart-link pattern as Psychological."
https://thebandperry.ffm.to/betterdigtwo,,200,external,"Music page CTA for ""Better Dig Two"" (2013), labeled LISTEN. Same Feature.fm smart-link pattern."
https://thebandperry.ffm.to/done,,200,external,"Music page CTA for ""Done."" (2013), labeled LISTEN. Same Feature.fm smart-link pattern."
https://thebandperry.ffm.to/youlie,,200,external,"Music page CTA for ""You Lie"" (2025), labeled LISTEN. Same Feature.fm smart-link pattern."
https://thebandperry.ffm.to/allyourlife,,200,external,"Music page CTA for ""All Your Life"" (2025), labeled CLICK HERE (only CTA on the page not labeled Listen/Pre-Save). Same Feature.fm smart-link pattern."
https://thebandperry.ffm.to/chainsaw,,200,external,"Music page CTA for ""Chainsaw"" (2013), labeled LISTEN. Same Feature.fm smart-link pattern."
https://rest.bandsintown.com/artists/The%20Band%20Perry/events?app_id=squarespace-the-band-perry&date=upcoming,,200,external,"Not a navigable page; this is the live XHR endpoint the Tour Dates block calls client-side to populate /tour and the home page tour list. See EXTRACTION.md and data/tour-dates.json for full findings."
